id,workitem_type,estimate,words,rel,sprint,assigned_to,new,doing,done,actual_work
1218041,Bug,,"behavior,incorrect,management,settings",,2,navarrj,2016-01-18 10:02:04.450,2016-01-19 09:34:12.153,2016-01-26 07:20:30.590,6
1218057,Bug,,"database,due,failed,fields,grandfathering,import,latest,offer",,2,vitalim,2016-01-18 10:29:51.433,2016-01-19 03:05:20.300,2016-01-19 03:05:33.410,0
1218060,Bug,,"based,conform,document,offer,validation",,2,vitalim,2016-01-18 10:37:29.183,2016-01-19 10:30:10.133,2016-01-19 10:30:36.850,0
1218387,Bug,,"add,after,fields,immediately,offer,open,validate",,2,navarrj,2016-01-19 03:00:35.173,2016-01-26 07:43:54.290,2016-01-26 07:44:32.897,0
1218392,Bug,,"apo,database,import,longer,rules,structure,work",,2,vitalim,2016-01-19 03:03:16.713,2016-01-19 03:11:13.967,2016-01-19 10:27:35.250,0
1218393,Bug,,"checkbox,disabled,list,offer,shows",,3,navarrj,2016-01-19 03:04:39.587,2016-02-02 04:02:34.737,2016-02-02 04:08:44.050,0
1222860,Bug,,"changes,code,edit,grid,reflect,setting",,2,navarrj,2016-01-26 08:18:47.367,2016-01-26 08:20:38.143,2016-01-27 01:18:21.330,0
1232261,Bug,,"control,gui,offer,percentage,remove",,3,navarrj,2016-02-09 01:16:00.483,2016-02-10 07:50:26.350,2016-02-10 07:50:57.380,0
1241253,Bug,24.0,"being,expression,interpreted,property,results,rules,this",,3,olsonju,2016-02-12 18:59:03.063,2016-02-12 19:04:53.740,2016-02-12 19:05:06.810,0
1246747,Bug,,"add,being,cache,dialog,retrieved,rule,ruleset,sets",,4,navarrj,2016-02-17 03:32:07.347,2016-02-17 20:51:46.703,2016-02-19 10:34:33.467,1
1247017,Issue,,"duplicate,handling,locationcodes",,,delossj,2016-02-17 08:36:27.050,2016-02-18 01:40:19.133,2016-03-01 12:29:25.000,12
1247998,Issue,,"book,bookings,logged,stage,table,treatment,were",,,vitalim,2016-02-18 08:13:27.073,2016-02-22 07:41:07.293,2016-02-22 14:37:19.427,0
